name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,386,89,297,23.05699481865285,100.0
FanIn,277,68,209,24.548736462093864,76.40449438202246
CouplingBetweenObjects,386,89,297,23.05699481865285,100.0
DepthOfInheritance,164,30,134,18.29268292682927,33.70786516853933
LackOfCohesionInMethods,249,52,197,20.883534136546185,58.42696629213483
LinesOfCode,386,89,297,23.05699481865285,100.0
SourceLinesOfCode,386,89,297,23.05699481865285,100.0
CommentLinesOfCode,208,68,140,32.69230769230769,76.40449438202246
CommentDensity,208,68,140,32.69230769230769,76.40449438202246
NumberOfChildren,53,19,34,35.84905660377358,21.34831460674157
ResponseForClass,386,89,297,23.05699481865285,100.0
WeightedMethodCount,385,89,296,23.116883116883116,100.0
CyclomaticComplexity,386,89,297,23.05699481865285,100.0
DepthOfNesting,156,58,98,37.17948717948718,65.1685393258427
OutDegree,371,88,283,23.71967654986523,98.87640449438202
OutDegreeDistinct,371,88,283,23.71967654986523,98.87640449438202
PatternSize,156,58,98,37.17948717948718,65.1685393258427
NumberOfPatternVariables,144,55,89,38.19444444444444,61.79775280898876
