commit,faults,path,ImplicitDefinitions,ImplicitConversions,ImplicitParameters,OverridingPatternVariables,UsageOfNull,UnitVariables,FunctionVariables,NumberOfReturns
HEAD,0,package http4s - package bench - class NioCharsetBench,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - object Rfc2616BasicRules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - object Rfc2616BasicRules - method token - <$anon: org.http4s.parser.Rfc2616BasicRules>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Content-MD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package server - object Router,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package syntax - trait AsyncSyntax,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package syntax - class AsyncOps,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package headers - object Link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package headers - class Link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,3,package http4s - package internal - package object internal,9.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
HEAD,0,package http4s - package internal - package object internal - object HexDecodeException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - package middleware - object GZip,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - package middleware - object GZip - object EmptyBodyException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,5,package http4s - package server - package staticcontent - object FileService,7.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0
HEAD,2,package http4s - package server - package staticcontent - object FileService - class Config,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HEAD,1,package http4s - package server - package staticcontent - object FileService - object Config,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package http4s - package server - package staticcontent - object FileService - method apply - object BadTraversal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,3,package http4s - package client - package middleware - object ResponseLogger,3.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0
HEAD,0,package middleware - trait CookieJar,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - method jarIn - <$anon: org.http4s.client.middleware.CookieJar.CookieJarRefImpl[F]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - class CookieJarRefImpl,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - class CookieKey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - class CookieValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - object CookieValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - class DefaultClient,14.0,0.0,10.0,0.0,0.0,0.0,12.0,0.0
HEAD,0,package http4s - package server - object ContextMiddleware,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fix - class v0_21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Proxy-Authorization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,3,package http4s - package server - package blaze - class Http2NodeStage,2.0,0.0,0.0,2.0,9.0,0.0,4.0,0.0
HEAD,1,package http4s - package server - package blaze - class Http2NodeStage - method checkAndRunRequest - <$anon: Runnable>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Access-Control-Expose-Headers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object X-Forwarded-Proto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Content-Location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Content-Location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Strict-Transport-Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
