name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,413,44,369,10.653753026634384,100.0
FanIn,369,42,327,11.38211382113821,95.45454545454545
CouplingBetweenObjects,414,44,370,10.628019323671497,100.0
DepthOfInheritance,255,23,232,9.019607843137255,52.27272727272727
LackOfCohesionInMethods,248,23,225,9.274193548387096,52.27272727272727
LinesOfCode,414,44,370,10.628019323671497,100.0
SourceLinesOfCode,414,44,370,10.628019323671497,100.0
CommentLinesOfCode,178,27,151,15.168539325842698,61.36363636363637
CommentDensity,178,27,151,15.168539325842698,61.36363636363637
NumberOfChildren,49,9,40,18.367346938775512,20.454545454545457
ResponseForClass,414,44,370,10.628019323671497,100.0
WeightedMethodCount,412,44,368,10.679611650485436,100.0
CyclomaticComplexity,414,44,370,10.628019323671497,100.0
DepthOfNesting,137,22,115,16.05839416058394,50.0
OutDegree,401,43,358,10.723192019950124,97.72727272727273
OutDegreeDistinct,401,43,358,10.723192019950124,97.72727272727273
PatternSize,137,22,115,16.05839416058394,50.0
NumberOfPatternVariables,127,21,106,16.535433070866144,47.72727272727273
