commit,faults,path,ImplicitDefinitions,ImplicitConversions,ImplicitParameters,OverridingPatternVariables,UsageOfNull,UnitVariables,FunctionVariables,NumberOfReturns
HEAD,0,package spark - class SparkDialect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor,4.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor - method runSuperAstParser - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor - method runCaseClassWithMultipleSelect - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package spark - trait SparkIdiom,24.0,26.0,25.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method sqlQueryTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method valueTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,13.0,5.0,51.0,1.0,1.0,0.0,3.0,0.0
HEAD,1,package quotation - trait Parsing - class Parser,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object QuillSparkContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - trait QuillSparkContext,10.0,2.0,2.0,2.0,1.0,0.0,6.0,0.0
HEAD,0,package getquill - trait QuillSparkContext - class StructElement,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - trait QuillSparkContext - object CaseAccessors,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
HEAD,5,package spark - class SparkDialect,19.0,25.0,23.0,1.0,0.0,0.0,0.0,0.0
