commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package shapeless - object Refute - object Impl - method amb1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package shapeless - object Refute - object Impl - method amb2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package shapeless - object Refute - method refute,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - class BlockHelper - method block,1.0,0.0,6.0,6.0,0.0,0.0,12.0,10.0,0.0,0.0,1.0
HEAD,0,package <empty> - object Boilerplate - method gen,1.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0
HEAD,0,package <empty> - object Boilerplate - trait Template - method filename,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - trait Template - method content,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - trait Template - method range,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - trait Template - method body,1.0,0.0,8.0,8.0,0.0,0.0,47.0,18.0,0.0,0.0,1.0
HEAD,0,package <empty> - object Boilerplate - object GenTuplerInstances - method content,1.0,0.0,23.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenFnToProductInstances - method content,2.0,0.0,28.0,17.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenFnFromProductInstances - method content,1.0,0.0,28.0,16.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenCaseInst - method content,1.0,0.0,17.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenPolyApply - method content,1.0,0.0,17.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenPolyInst - method content,1.0,0.0,16.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenCases - method content,1.0,0.0,31.0,17.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenPolyNTraits - method content,2.0,0.0,34.0,18.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenPolyNBuilders - method content,1.0,0.0,51.0,22.0,6.0,0.21428571428571427,3.0,3.0,0.0,0.0,0.0
HEAD,0,package <empty> - object Boilerplate - object GenNats - method content,1.0,0.0,11.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,1,package <empty> - object Boilerplate - object GenTupleTypeableInstances - method content,2.0,6.0,28.0,18.0,0.0,0.0,10.0,6.0,6.0,2.0,1.0
HEAD,1,package <empty> - object Boilerplate - object GenSizedBuilder - method content,1.0,0.0,17.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0
HEAD,0,package <empty> - object Boilerplate - object GenHMapBuilder - method content,1.0,0.0,18.0,13.0,0.0,0.0,20.0,8.0,0.0,0.0,1.0
HEAD,0,package <empty> - object Boilerplate - object GenUnpackInstances - method content,1.0,0.0,21.0,12.0,5.0,0.29411764705882354,9.0,4.0,0.0,0.0,0.0
HEAD,0,package examples - object OpticExamples - method update,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0
HEAD,4,package shapeless - package ops - package record - object Selector - method apply,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package shapeless - package ops - package record - object Selector - macro method materialize,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package shapeless - package ops - package record - class UnsafeSelector - method apply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package shapeless - package ops - package record - class SelectorMacros - method materialize,4.0,9.0,12.0,12.0,0.0,0.0,8.0,5.0,9.0,2.0,0.5000000000000001
HEAD,0,package shapeless - package ops - package record - object SelectAll - method apply,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package shapeless - package ops - package record - object SelectAll - method hnilSelectAll,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package shapeless - package ops - package record - object SelectAll - method hnilSelectAll - <$anon: shapeless.ops.record.SelectAll[L shapeless.HNil]> - method apply,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package shapeless - package ops - package record - object SelectAll - method hconsSelectAll,1.0,0.0,9.0,8.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0
HEAD,0,package shapeless - package ops - package record - object SelectAll - method hconsSelectAll - <$anon: shapeless.ops.record.SelectAll[L KH :: KT]> - method apply,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
HEAD,4,package shapeless - package ops - package record - object Updater - method apply,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package shapeless - package ops - package record - object Updater - macro method meterialize,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package shapeless - package ops - package record - class UnsafeUpdater - method apply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package shapeless - package ops - package record - class UpdaterMacros - method materialize,4.0,5.0,13.0,12.0,0.0,0.0,14.0,11.0,6.0,2.0,0.6000000000000001
HEAD,0,package shapeless - package ops - package record - trait LowPriorityMerger - method hlistMerger1,1.0,0.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0
HEAD,0,package shapeless - package ops - package record - trait LowPriorityMerger - method hlistMerger1 - <$anon: shapeless.ops.record.Merger[H :: T M]> - method apply,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package shapeless - package ops - package record - object Merger - method apply,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
